iter	Passed	Remaining
0	7	3633
1	13	3414
2	19	3259
3	26	3304
4	33	3276
5	39	3245
6	45	3211
7	51	3177
8	57	3159
9	64	3140
10	70	3136
11	76	3125
12	83	3117
13	89	3093
14	94	3062
15	100	3043
16	106	3020
17	112	3013
18	118	3003
19	124	2994
20	130	2983
21	136	2975
22	142	2959
23	148	2953
24	155	2946
25	160	2930
26	166	2910
27	171	2891
28	177	2881
29	183	2875
30	189	2874
31	196	2879
32	203	2880
33	209	2873
34	215	2862
35	221	2859
36	227	2849
37	233	2844
38	240	2837
39	245	2824
40	251	2816
41	257	2808
42	263	2800
43	269	2794
44	276	2791
45	282	2786
46	289	2787
47	295	2778
48	301	2772
49	306	2760
50	312	2753
51	319	2751
52	325	2747
53	332	2743
54	337	2731
55	343	2722
56	348	2712
57	355	2712
58	362	2712
59	369	2706
60	375	2699
61	380	2688
62	385	2676
63	391	2665
64	396	2654
65	402	2649
66	409	2646
67	415	2639
68	421	2629
69	426	2620
70	433	2616
71	438	2608
72	444	2600
73	450	2591
74	455	2583
75	461	2575
76	467	2568
77	473	2561
78	479	2555
79	485	2550
80	491	2540
81	496	2531
82	502	2522
83	507	2515
84	513	2509
85	520	2505
86	526	2501
87	532	2495
88	539	2489
89	544	2481
90	551	2477
91	557	2474
92	564	2469
93	570	2462
94	576	2455
95	581	2447
96	586	2437
97	593	2433
98	600	2432
99	607	2430
100	614	2426
101	620	2421
102	626	2414
103	632	2409
104	638	2403
105	645	2399
106	652	2395
107	658	2389
108	664	2384
109	671	2380
110	678	2378
111	685	2374
112	691	2368
113	698	2363
114	704	2359
115	710	2353
116	716	2346
117	723	2342
118	730	2338
119	737	2334
120	743	2329
121	750	2323
122	756	2318
123	763	2314
124	769	2308
125	775	2302
126	781	2296
127	787	2289
128	793	2283
129	800	2278
130	806	2272
131	813	2268
132	820	2263
133	826	2258
134	832	2251
135	839	2246
136	845	2241
137	851	2234
138	858	2228
139	864	2223
140	871	2218
141	877	2212
142	883	2206
143	890	2201
144	897	2197
145	904	2191
146	910	2186
147	917	2181
148	923	2174
149	929	2168
150	935	2162
151	941	2156
152	947	2149
153	954	2143
154	960	2137
155	966	2131
156	972	2125
157	978	2118
158	984	2110
159	989	2102
160	995	2096
161	1002	2091
162	1008	2084
163	1014	2077
164	1020	2071
165	1026	2065
166	1032	2059
167	1038	2052
168	1045	2046
169	1050	2039
170	1056	2032
171	1062	2026
172	1068	2020
173	1074	2013
174	1080	2007
175	1086	2000
176	1092	1994
177	1098	1987
178	1104	1980
179	1110	1973
180	1116	1967
181	1121	1960
182	1128	1954
183	1135	1949
184	1141	1944
185	1147	1937
186	1153	1930
187	1159	1924
188	1165	1918
189	1171	1912
190	1178	1905
191	1184	1899
192	1189	1892
193	1196	1886
194	1202	1880
195	1208	1874
196	1214	1868
197	1220	1862
198	1227	1856
199	1233	1850
200	1239	1844
201	1245	1836
202	1251	1830
203	1257	1824
204	1263	1818
205	1269	1812
206	1275	1806
207	1281	1799
208	1287	1792
209	1294	1787
210	1300	1781
211	1306	1774
212	1311	1767
213	1317	1760
214	1323	1754
215	1329	1747
216	1335	1741
217	1341	1734
218	1347	1729
219	1354	1723
220	1360	1717
221	1366	1711
222	1374	1707
223	1387	1708
224	1392	1702
225	1398	1695
226	1404	1688
227	1410	1682
228	1416	1676
229	1423	1671
230	1430	1665
231	1436	1659
232	1442	1653
233	1448	1646
234	1453	1639
235	1459	1632
236	1465	1625
237	1471	1619
238	1477	1613
239	1483	1607
240	1489	1601
241	1496	1595
242	1502	1588
243	1508	1582
244	1514	1576
245	1520	1569
246	1526	1563
247	1531	1556
248	1537	1549
249	1543	1543
250	1548	1536
251	1555	1530
252	1560	1523
253	1566	1517
254	1571	1510
255	1577	1503
256	1583	1497
257	1590	1491
258	1596	1485
259	1601	1478
260	1608	1472
