Feature,MeanAbsSHAP
Age,0.08017538480113982
BRI,0.02225364470791767
Hypertension,0.02057809347552022
FiberConsumption,0.012953011438974647
SmokingStatus,0.008224870362910468
Gender,0.007284259400544737
ProteinConsumption,0.006173494340490093
CaffeineConsumption,0.003237824079364051
FamilyIncome,0.0019405743692120878
CarbohydrateConsumption,0.001916776937073503
FatConsumption,0.001532886599588578
Hyperlipidemia,0.0012598220232477445
Diabetes,0.0010620293224871144
BMI,0.001029043568841075
Race,0.0008277817549777654
BRI_Grp,0.0007999261600156785
CalorieConsumption,0.0007182930335548867
PhysicalActivity,0.0005567094548270625
MaritalStatus,0.00025290296434053754
EducationLevel,0.00020862149250726339
BRI_Trend,0.00016129822213029388
DrinkingStatus,0.00013809879048849128
