Feature,MeanAbsSHAP
Age,1.4430677
BRI,0.53104615
FiberConsumption,0.41830683
ProteinConsumption,0.39967617
CaffeineConsumption,0.37363043
CarbohydrateConsumption,0.34392712
CalorieConsumption,0.31612444
BMI,0.31587774
FatConsumption,0.30998486
Hypertension,0.2880012
FamilyIncome,0.18545656
Race,0.1543372
SmokingStatus,0.1538582
PhysicalActivity,0.1517847
Hyperlipidemia,0.12876208
Diabetes,0.11127457
Gender,0.10225233
DrinkingStatus,0.07523802
EducationLevel,0.07107545
MaritalStatus,0.06606856
BRI_Grp,0.047335956
BRI_Trend,0.01791714
